1378	1333	Война на световете	Война на световете	Хърбърт Уелс	Хърбърт Уелс
1379	1595	Сенна хрема	Сенна хрема	Станислав Лем	Станислав Лем
1382	6955	Стингър	Стингър	Робърт МакКамън	Робърт МакКамън
1383	941	Всичко живо е трева	Всичко живо е трева	Клифърд Саймък	Клифърд Саймък
1386	2889	Грешниците	Грешниците	Джаки Колинс	Джаки Колинс
1396	5453	Цялото кралско войнство	Цялото кралско войнство	Робърт Пен Уорън	Робърт Пен Уорън
1400	1199	Голото слънце	Голото слънце	Айзък Азимов	Айзък Азимов
1403	3932	Робинята Изаура	Робинята Изаура	Бернарду Гимарайнс	Бернарду Гимарайнс
1412	1268	Страта	Страта	Тери Пратчет	Тери Пратчет
1414	1333	Война на световете	Война на световете	Хърбърт Уелс	Хърбърт Уелс
1430	1257	Бягащият човек	Бягащият човек	Стивън Кинг	Стивън Кинг
1433	111	Особени сезони	Особени сезони	Стивън Кинг	Стивън Кинг
1441	1288	Марсиански хроники	Марсиански хроники	Рей Бредбъри	Рей Бредбъри
1442	1795	Вино от глухарчета	Вино от глухарчета	Рей Бредбъри	Рей Бредбъри
1448	7901	Отвъд бездната	Отвъд бездната	Арчибалд Кронин	Арчибалд Кронин
